Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
product-title-here-spice-2,Product title acc 11,"<p>A long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like.</p>
<p>Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>
<p> </p>",Armani,acc,"gold, gray, magenta, maroon, white",true,Color,white,,,,,1510,0.0,,1,deny,manual,19.00,21.00,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p36_4908b991-b083-4466-aa22-7ef62a9555fc.jpg?v=1594333573,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p36_4908b991-b083-4466-aa22-7ef62a9555fc.jpg?v=1594333573,kg,,
product-title-here-spice-2,,,,,,,,gold,,,,,1511,0.0,,0,deny,manual,19.00,21.00,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p37_61811051-73ab-45b9-a26a-f15e57a7762c.jpg?v=1594333573,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p37_61811051-73ab-45b9-a26a-f15e57a7762c.jpg?v=1594333573,kg,,
product-title-here-spice-2,,,,,,,,gray,,,,,1512,0.0,,0,deny,manual,19.00,21.00,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p46_2211264d-cb60-4cd7-b71e-f3922b9b45c8.jpg?v=1594333573,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p46_2211264d-cb60-4cd7-b71e-f3922b9b45c8.jpg?v=1594333573,kg,,
product-title-here-spice-2,,,,,,,,magenta,,,,,1513,0.0,,0,deny,manual,19.00,21.00,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p49_5397dc6d-cc7f-431a-a58b-f34e03434079.jpg?v=1594333573,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p49_5397dc6d-cc7f-431a-a58b-f34e03434079.jpg?v=1594333573,kg,,
product-title-here-spice-2,,,,,,,,maroon,,,,,1514,0.0,,0,deny,manual,19.00,21.00,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p50_004b0a20-2db6-478e-ab5f-77712a5bb915.jpg?v=1594333573,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p50_004b0a20-2db6-478e-ab5f-77712a5bb915.jpg?v=1594333573,kg,,
product-title-here-spice-3,Product title pets 8,"<p>As opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like. It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters</p>
<p>If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc</p>
[product_video]2df62ekI9UY[/product_video]",Dior,pets,"black, navy, pink, purple, violet",true,Color,navy,,,,,9911,0.0,shopify,1,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p13_552d305e-4ad3-4b4c-8377-10d9bf87c97a.jpg?v=1594333638,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p13_552d305e-4ad3-4b4c-8377-10d9bf87c97a.jpg?v=1594333638,kg,,
product-title-here-spice-3,,,,,,,,purple,,,,,9912,0.0,shopify,2,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p15_d95ccb3f-ca8a-43b8-9d9d-57ff51cca051.jpg?v=1594333638,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p15_d95ccb3f-ca8a-43b8-9d9d-57ff51cca051.jpg?v=1594333638,kg,,
product-title-here-spice-3,,,,,,,,violet,,,,,9913,0.0,shopify,3,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p17_4eb9496b-c3da-45df-82e1-a89f0db31b93.jpg?v=1594333638,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p17_4eb9496b-c3da-45df-82e1-a89f0db31b93.jpg?v=1594333638,kg,,
product-title-here-spice-3,,,,,,,,black,,,,,9914,0.0,shopify,4,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p19_403778df-c01f-47e2-81c7-c1b93f757d34.jpg?v=1594333638,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p19_403778df-c01f-47e2-81c7-c1b93f757d34.jpg?v=1594333638,kg,,
product-title-here-spice-3,,,,,,,,pink,,,,,9915,0.0,shopify,5,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p23_d729d449-16af-4487-9f60-7c05e4b6d4aa.jpg?v=1594333638,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0430/0079/1201/products/p23_d729d449-16af-4487-9f60-7c05e4b6d4aa.jpg?v=1594333638,kg,,
